geometry,current_family,saturated_stave,method,n_saturated,n_depth_bins,depth_order_violation_rate,depth_order_violation_rate_ci95,target_depth_order_violation_rate
center_4cm,high_20nA,B2+B4,1d_cnn,20,2,0.0,"[0.0, 0.0]",0.0
center_4cm,high_20nA,B2+B4,template_residual_mlp,20,2,0.0,"[0.0, 0.0]",0.0
center_4cm,high_20nA,B4,observed_even_charge,82,3,0.0,"[0.0, 0.0]",0.0
center_4cm,high_20nA,B4,traditional_template_corrected,82,3,0.0,"[0.0, 0.0]",0.0
center_4cm,high_20nA,B4,p07_p04_corrected,82,3,0.0,"[0.0, 0.0]",0.0
center_4cm,high_20nA,B4,ridge,82,3,0.0,"[0.0, 0.0]",0.0
center_4cm,high_20nA,B4,gradient_boosted_trees,82,3,0.0,"[0.0, 0.0]",0.0
center_4cm,high_20nA,B4,mlp,82,3,0.0,"[0.0, 0.0]",0.0
center_4cm,high_20nA,B4,1d_cnn,82,3,0.0,"[0.0, 0.0]",0.0
center_4cm,high_20nA,B4,template_residual_mlp,82,3,0.0,"[0.0, 0.0]",0.0
center_4cm,low_2nA,B2,observed_even_charge,1411,4,0.0,"[0.0, 0.0]",0.0
center_4cm,low_2nA,B2,traditional_template_corrected,1411,4,0.0,"[0.0, 0.0]",0.0
center_4cm,low_2nA,B2,p07_p04_corrected,1411,4,0.0,"[0.0, 0.0]",0.0
center_4cm,low_2nA,B2,ridge,1411,4,0.0,"[0.0, 0.0]",0.0
center_4cm,low_2nA,B2,gradient_boosted_trees,1411,4,0.0,"[0.0, 0.0]",0.0
center_4cm,low_2nA,B2,mlp,1411,4,0.0,"[0.0, 0.0]",0.0
center_4cm,low_2nA,B2,1d_cnn,1411,4,0.0,"[0.0, 0.0]",0.0
center_4cm,low_2nA,B2,template_residual_mlp,1411,4,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B2,observed_even_charge,104681,4,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B2,traditional_template_corrected,104681,4,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B2,p07_p04_corrected,104681,4,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B2,ridge,104681,4,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B2,gradient_boosted_trees,104681,4,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B2,mlp,104681,4,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B2,1d_cnn,104681,4,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B2,template_residual_mlp,104681,4,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B2+B4,observed_even_charge,20,2,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B2+B4,traditional_template_corrected,20,2,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B2+B4,p07_p04_corrected,20,2,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B2+B4,ridge,20,2,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B2+B4,gradient_boosted_trees,20,2,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B2+B4,mlp,20,2,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B2+B4,1d_cnn,20,2,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B2+B4,template_residual_mlp,20,2,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B4,observed_even_charge,82,3,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B4,traditional_template_corrected,82,3,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B4,p07_p04_corrected,82,3,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B4,ridge,82,3,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B4,gradient_boosted_trees,82,3,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B4,mlp,82,3,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B4,1d_cnn,82,3,0.0,"[0.0, 0.0]",0.0
zero_4cm,high_20nA,B4,template_residual_mlp,82,3,0.0,"[0.0, 0.0]",0.0
zero_4cm,low_2nA,B2,observed_even_charge,1411,4,0.0,"[0.0, 0.0]",0.0
zero_4cm,low_2nA,B2,traditional_template_corrected,1411,4,0.0,"[0.0, 0.0]",0.0
zero_4cm,low_2nA,B2,p07_p04_corrected,1411,4,0.0,"[0.0, 0.0]",0.0
zero_4cm,low_2nA,B2,ridge,1411,4,0.0,"[0.0, 0.0]",0.0
zero_4cm,low_2nA,B2,gradient_boosted_trees,1411,4,0.0,"[0.0, 0.0]",0.0
zero_4cm,low_2nA,B2,mlp,1411,4,0.0,"[0.0, 0.0]",0.0
zero_4cm,low_2nA,B2,1d_cnn,1411,4,0.0,"[0.0, 0.0]",0.0
zero_4cm,low_2nA,B2,template_residual_mlp,1411,4,0.0,"[0.0, 0.0]",0.0
