heldout_run,method,n_pulses,pred_sigma_median_ns,abs_error_median_ns,pull_width_sigma68,pull_rms
61,mlp_train_label_permutation,2799,2.0062806606292725,1.6350319933712,1.0909389272331282,1.220778705481252
61,cnn_train_label_permutation,2799,2.230919122695923,1.6628670481413934,0.995633548437265,1.1491118863063812
61,gated_label_fusion_train_label_permutation,2799,2.1995656490325928,1.8279488685094023,1.103672733968611,1.229399879006155
61,mlp_heldout_label_permutation,2799,1.5221959352493286,1.976499689947289,2.0763028848617293,2.0431517190827435
61,cnn_heldout_label_permutation,2799,1.6190390586853027,2.0011879023481143,1.8820898286716727,1.8761743783334264
61,gated_label_fusion_heldout_label_permutation,2799,1.883939504623413,2.00360167640828,1.5023685393524784,1.5748596725470214
62,mlp_no_stave,2421,1.9638887643814087,1.187040397058162,0.8420705790651632,1.079312251498189
62,cnn_no_stave,2421,2.147013664245605,1.1919837673662954,0.771634888848451,0.9306092347722416
62,gated_label_fusion_no_stave,2421,2.191244602203369,1.1074767025563546,0.7690780753287383,0.9611832140120172
62,mlp_real_stave,2421,1.4804654121398926,0.5859370038802254,0.6074167928177052,1.0638810977592863
62,cnn_real_stave,2421,1.6237263679504397,0.5996242708039787,0.5715858310717198,1.111709088202091
62,gated_label_fusion_real_stave,2421,1.9152390956878664,0.7530342258575189,0.5673093016664696,0.954859483755749
62,mlp_train_label_permutation,2421,2.162691831588745,1.166493769706733,0.7781230348821929,0.9522790220806588
62,cnn_train_label_permutation,2421,2.20749306678772,1.2508336493973218,0.7796659971308328,0.9479978870521442
62,gated_label_fusion_train_label_permutation,2421,2.282167434692383,1.2467645167749453,0.7850716775662994,0.9625121239587512
62,mlp_heldout_label_permutation,2421,1.3988847732543943,1.5518173305606666,1.5601775559773658,1.6805116752185227
62,cnn_heldout_label_permutation,2421,1.587364673614502,1.5306993175806838,1.4299867339344892,1.6346800809411246
62,gated_label_fusion_heldout_label_permutation,2421,1.7892979383468628,1.560220167396949,1.1959219340671123,1.3384107680827615
63,mlp_no_stave,1110,2.0854886770248413,1.1089754222526942,0.7527271481489589,0.9593327454292416
63,cnn_no_stave,1110,2.1006473302841187,1.184676965213033,0.6971997561831462,0.9898871803837248
63,gated_label_fusion_no_stave,1110,2.276054263114929,1.1887961453110094,0.6737315713667349,0.9217016543711928
63,mlp_real_stave,1110,1.407047986984253,0.6359560121491938,0.6397180625845871,1.0706309194426074
63,cnn_real_stave,1110,1.6142266392707825,0.635040178665637,0.5592850998908234,1.0511388145009042
63,gated_label_fusion_real_stave,1110,1.8234565258026123,0.6677581674583806,0.5307999384724539,0.9564340649306928
63,mlp_train_label_permutation,1110,2.0126994848251343,1.1784034292154644,0.7429251264250709,0.94174042897249
63,cnn_train_label_permutation,1110,2.033741235733032,1.108925805265148,0.7417386570453655,1.0546890993091311
63,gated_label_fusion_train_label_permutation,1110,2.132695198059082,1.0672891851641315,0.6877821957099665,0.9669107406575193
63,mlp_heldout_label_permutation,1110,1.4956300854682922,1.2949860459943672,1.3520112311464088,1.4888173518217946
63,cnn_heldout_label_permutation,1110,1.755383551120758,1.330627106075152,1.1322634228991473,1.3045548831899958
63,gated_label_fusion_heldout_label_permutation,1110,2.141166090965271,1.2109653985086766,0.7750662655858522,1.0007104512942833
65,mlp_no_stave,198,2.077692985534668,1.201626171973878,0.7392196198043521,0.8244246865452862
65,cnn_no_stave,198,2.341981649398804,1.3395140312313565,0.6813986738706438,0.751336461035793
65,gated_label_fusion_no_stave,198,2.351268172264099,1.346507002513924,0.6565911313064008,0.7288796382711755
65,mlp_real_stave,198,1.571935951709747,0.8271785053935758,0.66042758380227,0.7506155449430273
65,cnn_real_stave,198,1.618986189365387,0.643408462444846,0.5735247460701907,0.7350001695276481
65,gated_label_fusion_real_stave,198,2.028925061225891,0.6666206463431834,0.5091490708821407,0.5899796954444481
65,mlp_train_label_permutation,198,2.352366805076599,1.030387762649532,0.6603394211541228,0.7161571852587546
65,cnn_train_label_permutation,198,2.276916742324829,1.361571790411901,0.6913452070397366,0.7564609550564124
65,gated_label_fusion_train_label_permutation,198,2.42362904548645,1.2128744184372875,0.6097729052324171,0.6760832772861893
65,mlp_heldout_label_permutation,198,1.5449424982070925,1.466932526096009,1.0595577502731537,1.3384001098257294
65,cnn_heldout_label_permutation,198,1.855364203453064,1.3255775398274707,1.0392855668636405,1.1613375512512756
65,gated_label_fusion_heldout_label_permutation,198,2.15569281578064,1.0618590866063435,0.8114258165756292,0.8967963159798235
