method,run,n,q_template_mse,q_template_rmse,timing_bias_ns,timing_sigma68_ns
mlp,51,14740,0.004370444124292961,0.06610933462297863,-0.026513733829869324,0.1438996339812691
mlp,52,7152,0.004557362995469031,0.06750824390745941,-0.027436813701506857,0.14682647609261162
mlp,53,32200,0.0037150151574026507,0.06095092417185034,-0.03048691795066283,0.12792362513116143
mlp,54,30440,0.0032922259353493364,0.05737792202014061,-0.03278794092282933,0.12809733286740252
mlp,55,17387,0.00434170551371686,0.06589161944979695,-0.03171699251661941,0.14409471426764994
mlp,56,40148,0.004369573284271773,0.06610274793283387,-0.03546550524911485,0.14239531728820687
mlp,57,13833,0.008440449439334231,0.0918719186657938,0.038681974876451086,0.2031088066839825
mlp,58,16781,0.004306685309218833,0.06562534045030802,0.06756236957369044,0.17989728628674406
mlp,59,21377,0.009922106109685873,0.09960976914783948,0.03867988905756459,0.32758463677257466
mlp,60,17029,0.008123518078452078,0.09013056129000906,0.014061599481489662,0.328273598638523
mlp,61,18965,0.007634939981858619,0.08737814361645949,0.06489547810740515,0.30986181674183877
mlp,62,19089,0.008584541607075261,0.09265280139896073,0.034695079161923825,0.3248888868550329
mlp,63,18817,0.008286447620241043,0.09102992705830892,0.06905931641710161,0.2569691271116117
mlp,65,13038,0.0059907703895246646,0.0774000671157633,0.10760839820492585,0.19936123022072616
1d_cnn,44,2038,0.02481957218364223,0.15754228696969658,-2.0554653616149854,0.8934928541003232
1d_cnn,45,24333,0.026385864595454882,0.16243726356798455,-2.1158155599464012,0.941271723279515
1d_cnn,46,687,0.010511646357573044,0.10252632031616586,-1.9902442936733244,0.7005722908319449
1d_cnn,47,5276,0.015433921401581648,0.12423333450238566,-2.050009224219409,0.7781802466064266
1d_cnn,48,14000,0.024879561965573414,0.157732564695986,-2.0104598011158603,0.863253424163576
1d_cnn,49,14815,0.025240258377396022,0.15887183003099078,-2.024016777387674,0.8889247135341711
1d_cnn,50,35217,0.012599377822114394,0.11224695016843173,-2.58339496303853,0.6317452969898918
1d_cnn,51,14740,0.012764967799855219,0.11298215699771012,-2.5142842272510957,0.6839571966455746
1d_cnn,52,7152,0.01349893461555898,0.11618491561110238,-2.5270143544207624,0.6710902087710675
1d_cnn,53,32200,0.009695864612466087,0.09846758153050214,-2.450379301814807,0.4880280780694852
1d_cnn,54,30440,0.00875107670998921,0.09354718974928755,-2.4471768453667897,0.4835346984730158
1d_cnn,55,17387,0.012536465027709425,0.11196635667784062,-2.4961210527792033,0.6605184314856528
1d_cnn,56,40148,0.012252526341005748,0.11069113036285133,-2.557847519851819,0.6594100073390379
1d_cnn,57,13833,0.02457046280847872,0.15674968200439426,-2.0077446369364904,0.8861183229604963
1d_cnn,58,16781,0.010334610382958473,0.10165928576848489,-2.0257239021966944,0.8919377262908219
1d_cnn,59,21377,0.02058430949689222,0.1434723300741025,-1.618364496749547,0.7638046067706892
1d_cnn,60,17029,0.021041888346356855,0.14505822398732468,-1.6721854006274017,0.8689845133708098
1d_cnn,61,18965,0.01909968750987677,0.13820161905664047,-1.6956764497821464,0.7800999251002332
1d_cnn,62,19089,0.019814699123380554,0.14076469416505175,-1.636763571791633,0.778500328920104
1d_cnn,63,18817,0.01810131729184617,0.13454113605825607,-1.67912114188975,0.8348917288143497
1d_cnn,65,13038,0.01598020945943158,0.12641285322083184,-1.5927163295677804,0.7406111407404778
empirical_residual_boosted_fusion_new,44,2038,0.01077631998600587,0.10380905541428392,-0.04351758365242597,0.1083036611028181
empirical_residual_boosted_fusion_new,45,24333,0.012244248035185737,0.11065373032657208,-0.0485960261174867,0.1117600941683059
empirical_residual_boosted_fusion_new,46,687,0.003939485089719667,0.06276531757045181,-0.04297178939547175,0.09775795230304601
empirical_residual_boosted_fusion_new,47,5276,0.007721381364369262,0.08787139104605811,-0.038815763997765984,0.10051634785127882
empirical_residual_boosted_fusion_new,48,14000,0.011505938406867785,0.10726573733894613,-0.046880698339393234,0.11059249070030795
empirical_residual_boosted_fusion_new,49,14815,0.011702594270530907,0.10817852961900946,-0.04628881549568309,0.10993075371919855
empirical_residual_boosted_fusion_new,50,35217,0.00618455706472466,0.07864195486332128,-0.04393142974290942,0.09927484760544567
empirical_residual_boosted_fusion_new,51,14740,0.005474546233305065,0.07399017660003972,-0.04140262641572967,0.09894715209496026
empirical_residual_boosted_fusion_new,52,7152,0.0059271501918260255,0.07698798732156872,-0.040258213202815085,0.09883590793457611
empirical_residual_boosted_fusion_new,53,32200,0.0046031331615847566,0.0678463938731069,-0.04251714561488207,0.09301284057223436
empirical_residual_boosted_fusion_new,54,30440,0.0040702736138447165,0.06379869601994007,-0.04303466495611197,0.09213454039268001
empirical_residual_boosted_fusion_new,55,17387,0.005379069686403558,0.07334214127228328,-0.044904117287583034,0.09937544395517373
empirical_residual_boosted_fusion_new,56,40148,0.005341891575752048,0.07308824512705206,-0.0445916807087654,0.09909868315729575
empirical_residual_boosted_fusion_new,57,13833,0.01137586200133073,0.1066576860865204,-0.04667206038027061,0.11105875384665517
empirical_residual_boosted_fusion_new,58,16781,0.0049780614486304615,0.07055537859462212,-0.04281995331271826,0.10499783638831123
empirical_residual_boosted_fusion_new,59,21377,0.010824151720620708,0.10403918358301698,-0.050718263116786844,0.11831203931215639
empirical_residual_boosted_fusion_new,60,17029,0.008843886629945815,0.09404194080273873,-0.05145272043507454,0.11597306822521469
empirical_residual_boosted_fusion_new,61,18965,0.00857300361350759,0.0925905157859464,-0.050632712293008364,0.11482436554137498
empirical_residual_boosted_fusion_new,62,19089,0.009380216959664503,0.09685152017219194,-0.05022523201608786,0.1152936862571379
empirical_residual_boosted_fusion_new,63,18817,0.009441706025029908,0.09716844150767218,-0.0461211999717559,0.11211741037027956
empirical_residual_boosted_fusion_new,65,13038,0.007261323247592844,0.08521339828684714,-0.041687345859622305,0.10266899659253852
