method,run,n,positives,roc_auc,average_precision,f1
mlp,50,90,9,0.7860082304526749,0.22312183978850647,0.1875
mlp,51,90,13,0.8901098901098901,0.47248390994044726,0.3170731707317073
mlp,52,59,11,0.6912878787878788,0.5366407500895816,0.34920634920634924
mlp,53,90,7,0.8364888123924268,0.3543083900226758,0.4444444444444444
mlp,54,90,8,0.6524390243902439,0.40019047910188776,0.163265306122449
mlp,55,90,13,0.6943056943056942,0.3448918659272444,0.2524271844660194
mlp,56,90,7,0.9087779690189329,0.562385531135531,0.14583333333333334
mlp,57,90,27,0.602880658436214,0.4800118935801131,0.4615384615384615
ridge,44,27,7,0.6142857142857143,0.48227513227513225,0.36363636363636365
ridge,45,90,27,0.7042915931804821,0.47046171248829405,0.17647058823529413
ridge,48,90,28,0.45564516129032256,0.30713868463933675,0.23255813953488372
ridge,49,90,21,0.49068322981366463,0.34345313940599875,0.358974358974359
ridge,50,90,9,0.6200274348422496,0.19368961165089163,0.0
ridge,51,90,13,0.6883116883116883,0.341869144042499,0.2
ridge,52,59,11,0.6117424242424242,0.4537296037296037,0.16666666666666669
ridge,53,90,7,0.746987951807229,0.381600324558071,0.5263157894736842
ridge,54,90,8,0.6173780487804877,0.28723286392977726,0.2222222222222222
ridge,55,90,13,0.4035964035964036,0.18648595582378774,0.2857142857142857
ridge,56,90,7,0.7538726333907058,0.1769385290348023,0.0
ridge,57,90,27,0.443856554967666,0.3269276940245734,0.10256410256410256
traditional_template_fit,44,27,7,0.47857142857142865,0.2518896447467876,0.33333333333333326
traditional_template_fit,45,90,27,0.4109347442680776,0.2806013349872999,0.2608695652173913
traditional_template_fit,48,90,28,0.5288018433179724,0.33911564625850343,0.3823529411764706
traditional_template_fit,49,90,21,0.43064182194616973,0.21677842854313442,0.25
traditional_template_fit,50,90,9,0.35048010973936905,0.09211469534050179,0.07142857142857142
traditional_template_fit,51,90,13,0.5714285714285714,0.1866004962779156,0.25925925925925924
traditional_template_fit,52,59,11,0.47159090909090917,0.18790813706067944,0.2222222222222222
traditional_template_fit,53,90,7,0.5387263339070568,0.0859236002093145,0.16
traditional_template_fit,54,90,8,0.5945121951219512,0.10592306744745769,0.22950819672131148
traditional_template_fit,55,90,13,0.647852147852148,0.2091673559415495,0.32142857142857145
traditional_template_fit,56,90,7,0.5585197934595525,0.08910109498344793,0.16326530612244897
traditional_template_fit,57,90,27,0.5602586713697825,0.3441494125704652,0.4225352112676057
