path,line,size_bytes,text,looks_like_source_table
reports/1781005862.2197.53fd45c8__p04c_amplitude_adaptive_template/benchmark_by_subset.csv,21,20301,"amplitude,fixed_bin_template_calibrated,even_amp_ge7000,2299,-0.267438727316392,0.30886165340823707,0.46170660788675755,0.009134406263592866,0.02044367116137451,""[-0.272226641894912, -0.2622567334214615]"",""[0.3047247290819973, 0.31426804944",False
reports/1781005862.2197.53fd45c8__p04c_amplitude_adaptive_template/benchmark_by_subset.csv,35,20301,"amplitude,adaptive_template_ridge,stave_B4,1498,-0.021360887007404204,0.12071853910615203,0.18555172369607018,0.30707610146862485,0.5947930574098799,""[-0.02719302228825148, -0.014503786118418214]"",""[0.11338847341068141, 0.12909580102975846]",False
reports/1781005319.615.15053b04__p09a_rare_waveform_anomaly_taxonomy/gallery_manifest.csv,5,47187,"traditional_robust_template,42,1005,768306,1682,B2,7070.5,baseline_excursion,1264.493,45.274616,0.5269346,0.1811834,0.18326767,0.6480088,2,0.16565777,4612.5,1,0.8215119,-1.2820169,0.8281736",False
reports/1781005319.615.15053b04__p09a_rare_waveform_anomaly_taxonomy/gallery_manifest.csv,73,47187,"traditional_robust_template,64,1667,614349,4424,B2,5061.0,baseline_excursion,876.70276,6.5735373,0.65767765,0.010604024,0.05199956,0.56549037,3,0.0036105358,3199.0,1,0.35151157,-0.37087533,18.0",False
reports/1781005319.615.15053b04__p09a_rare_waveform_anomaly_taxonomy/gallery_manifest.csv,118,47187,"traditional_robust_template,65,37336,685963,5226,B6,2056.5,novel_early_pretrigger,331.05725,2.276681,0.63057804,0.006471103,0.01097438,0.5351511,3,0.0,1209.5,1,0.88232434,-0.56479454,1.7138846",False
reports/1780997954.15397.168324f2__s18_astack_independent_reproduction/REPORT.md,69,13530,| sample_iii_analysis | ml_ridge_timewalk               |      2514 |  -0.0131319 |           1.38289 |            1.33704 |             1.42639 |       3.22602 |              1.38671 |               4.82667 |         0.863166 |            ,False
reports/1780997954.15217.702122ea__s07_ml_rigour_scoreboard/result.json,43,2586,"    ""S07c: event-level clean-timing RF vs q_template/downstream-span baseline""",False
reports/1780997954.15217.702122ea__s07_ml_rigour_scoreboard/REPORT.md,87,8090,- **S07c: event-level clean-timing RF vs `q_template`/downstream-span baseline.** Question: does the App.A clean-timing RF add information beyond strong conventional timing/template cuts without label leakage? Expected information gain: det,False
reports/1781001480.695946.490c69d3/heldout_pair_predictions.csv,79,11563,"63,14042,2.330733567312272,-1.213696651511846,-1.8326526695396534,100.0,-1.4849211693466025",False
reports/1780997954.15517.0cbc248c__p01_self_supervised_waveform_representation/result.json,118,3923,"      ""masked_sample_mse"": 0.019415110912587775,",False
reports/1780997954.15517.0cbc248c__p01_self_supervised_waveform_representation/reconstruction_benchmark.csv,6,592,"masked denoising autoencoder,4,0.014276529662311077,0.010298035107553005,0.0177223589271307,0.019415110912587775,581124,59613",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,67,517384,"58,420245,4054,5983.0,50238.0,52255.0,47409.0,65363.37231869088,75088.70675944188,61511.23636009966,52325.73747303139,61316.58574456446",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,174,517384,"59,428315,11536,2129.0,15112.0,15278.0,64261.0,61256.846929425104,59927.43688859174,61933.52906881878,15115.119435882914,63946.11566119825",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,394,517384,"59,440692,6619,2150.5,14877.5,15111.0,68933.0,61181.456816474776,60141.33252484765,54984.59898085178,15385.204462561534,49422.48168102375",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,450,517384,"59,443966,9639,2502.5,17265.5,17584.0,72067.0,63551.46285546986,61932.0172633988,63617.79222154797,17800.958280318813,58487.551063626735",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,548,517384,"59,449512,14774,2430.5,16595.5,16851.0,48656.5,63236.96481852249,61423.25485037843,63471.33059454487,17085.812180778288,65272.784559862695",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,611,517384,"59,453117,1762,3219.0,26290.0,20067.0,51973.0,70510.80087299003,63815.64056212725,63437.77573522633,20659.71271511328,58419.769742073586",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,740,517384,"59,459960,8195,2173.0,15112.0,9824.0,58318.0,59689.2949743062,54161.03654432622,63337.99320705232,9141.05858286619,62835.1700384231",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,801,517384,"59,464242,12171,2631.5,18452.5,18718.0,85310.5,64774.408138008024,62644.10636030661,62712.77609985161,18841.864000520916,53788.85728331068",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,819,517384,"59,465176,13050,3080.0,23138.0,23524.0,68992.5,68616.68015114336,65525.17210746758,67450.1033335151,23561.08980344728,65021.875621419436",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,947,517384,"60,470645,1752,3438.5,27740.0,28174.0,67868.0,68373.84667014852,64520.68657591294,73549.20134330784,28263.964651511935,58362.417057180195",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,1149,517384,"60,479282,9834,2862.0,20642.0,20848.0,69102.0,65047.492418736125,61215.88332287983,59565.51127550739,20961.517121479923,56146.78772526407",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,1160,517384,"60,479734,10259,3130.0,23901.0,15330.0,97170.0,62999.28054151174,58335.811183008525,75307.53055110398,15938.496672352558,58926.85996722332",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,1193,517384,"60,481264,11670,3928.0,35326.0,38770.0,103272.0,53691.32812956771,67775.33869442972,53559.25107545226,37387.940121473905,60690.13876655513",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,1214,517384,"60,482250,12622,2209.5,15701.0,15772.0,84790.0,60884.30477724708,58402.16442824582,59039.587002254244,16041.830493230304,61511.95730805269",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,1251,517384,"60,484930,15111,1963.0,13634.0,15562.0,54323.0,59955.10469860152,58104.57369612163,55576.97823499461,15582.660639055837,65685.89350871956",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,1352,517384,"60,489406,2925,2540.0,17399.0,5998.5,62277.5,57748.7121470709,48711.642333434706,62650.965025555226,5718.968887680572,51876.05171816652",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,1390,517384,"60,491055,4453,2863.5,21210.0,21597.0,84105.5,64794.03334997512,61511.83893512166,60789.0751663859,21544.17779180674,55152.267724477206",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,2344,517384,"61,530568,8553,3312.5,25597.0,25908.0,68932.0,68380.14241771784,64128.275755037634,66877.21077288254,26272.638433304477,61245.15110759227",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,2423,517384,"61,533709,11511,3224.0,25114.0,25471.0,99781.0,68009.87376104848,63844.04199250715,72583.4781662274,25603.656427532234,61378.0344743275",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,2536,517384,"61,537587,15116,2755.5,19374.5,19670.0,81058.0,65487.74483955498,60983.63784003638,61836.75118945314,19620.637301988285,55335.296764364924",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,2731,517384,"62,546082,6677,2289.5,14726.5,15110.5,38121.0,54984.590342546006,59309.88914405198,49089.52501733201,15254.376245259364,53691.82130926667",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,2946,517384,"62,555484,14969,1613.0,11976.0,12147.0,67380.5,56202.847112740674,56898.112443650716,46467.32343524618,12139.882900793853,53868.72168241837",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,2961,517384,"62,556279,15705,2603.0,9965.0,12117.5,31818.0,26444.251511360868,57339.51942118617,28101.96059789462,12667.096777351537,54957.52440501693",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,3044,517384,"62,560710,3421,2154.5,14619.0,14737.0,78777.0,61355.805473389366,59212.29156167998,56584.69209553759,15116.799719066132,56219.019021551794",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,3298,517384,"62,573104,15006,2951.0,21123.0,21511.0,73157.5,67158.63593951947,63260.929507372966,68461.29220966583,21750.566925708394,61347.877853187114",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,3300,517384,"62,573218,15113,3374.0,27897.0,28367.0,66405.0,67025.45021783504,66314.21695867224,78325.43607092381,28189.225979079816,56091.39314136186",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,3617,517384,"63,603794,10924,4497.0,38632.0,39838.0,51787.0,68635.12127965775,72947.9501151162,74843.32333547434,41289.38900437902,55814.1753525042",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,3620,517384,"63,603996,11114,1546.0,10636.0,10888.0,43347.5,51977.393592747794,56070.16044962626,42593.20770383461,10963.107482394464,60775.689947507926",False
reports/1781005862.2131.4dbf3cf0/external_predictions.csv,3671,517384,"63,609836,183,2432.0,14869.0,4595.0,69434.5,55592.35475030659,47299.513201396854,63678.292692111216,4652.1121470325725,63943.861622848824",False
reports/1781005319.561.508a188d/REPORT.md,43,3928,"Run splitting is strict: no source run appears in both train and held-out sets. Event ids are generated per split and have no overlap. A shuffled-label classifier gives held-out AP `0.521`, recorded in `leakage_checks.csv`; this is consiste",False
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/oof_predictions.csv,656,368713,"60:480523:10980:91511,60,480523,10980,1.9821107158764306,,False,2,0,1.9821107158764306,0.012235142876410207,0.0,0.45857998259908916,0.2653372335325108,0.01744659007190358",False
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/oof_predictions.csv,762,368713,"60:489406:2925:100394,60,489406,2925,0.9892983699503937,1.51766949884491,True,3,0,1.51766949884491,0.001096774193548387,0.0,0.5242569080262309,0.15117090871724226,0.0",False
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/oof_predictions.csv,828,368713,"60:495070:8157:106058,60,495070,8157,0.9106421519789869,,False,2,0,0.9106421519789869,0.006535558450113786,0.0,0.45857998259908916,0.15117856439797778,0.0015121951219512196",False
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/oof_predictions.csv,832,368713,"60:495594:8640:106582,60,495594,8640,0.11824104077227204,,False,2,0,0.11824104077227204,0.0039151138716356105,0.0,0.45857998259908916,0.023473404525615766,0.003325174825174825",False
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/oof_predictions.csv,963,368713,"61:504390:430:115378,61,504390,430,2.5120710098149033,2.6672726474515116,True,3,0,2.6672726474515116,0.0595779904841913,0.0,0.5356849895581386,0.031551230409413024,0.11896035997617091",False
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/oof_predictions.csv,978,368713,"61:504791:794:115779,61,504791,794,1.0521791577703006,,False,2,0,1.0521791577703006,0.001511111111111111,0.0,0.4528126976372487,0.009259056210611022,0.0",False
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/oof_predictions.csv,1096,368713,"61:509569:5266:120557,61,509569,5266,2.354358361150979,,False,2,0,2.354358361150979,0.010807696077381511,0.0,0.4528126976372487,0.1760708418207448,0.025856303098265417",False
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/oof_predictions.csv,1113,368713,"61:510548:6180:121536,61,510548,6180,2.262161073417417,,False,2,0,2.262161073417417,0.0051244588744588735,0.0,0.4528126976372487,0.6221355963701511,0.00791636784390197",False
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/oof_predictions.csv,1119,368713,"61:510636:6261:121624,61,510636,6261,0.139709176871591,,False,2,0,0.139709176871591,0.0,0.0,0.012064115745545233,0.00391785878647793,0.0",False
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/oof_predictions.csv,1120,368713,"61:510678:6301:121666,61,510678,6301,0.14041124446198694,,False,2,0,0.14041124446198694,0.001511111111111111,0.0,0.4528126976372487,0.006315626228068034,0.0",False
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/oof_predictions.csv,1235,368713,"61:517312:12575:128300,61,517312,12575,2.8162894421515112,5.039909814285885,True,3,0,5.039909814285885,0.02185310249103836,0.0,0.5356849895581386,0.043911075575269444,0.00454983660130719",False
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/oof_predictions.csv,1284,368713,"61:521185:16177:132173,61,521185,16177,2.7433920660693047,,False,2,0,2.7433920660693047,0.015111148230028763,0.0,0.4528126976372487,0.592569961396563,0.016284022027280257",False
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/oof_predictions.csv,1496,368713,"61:534854:12570:145840,61,534854,12570,0.4528627017940572,,False,2,0,0.4528627017940572,0.001511111111111111,0.0,0.4528126976372487,0.011536861927255719,0.0",False
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/oof_predictions.csv,1566,368713,"62:540164:1158:151150,62,540164,1158,1.9746460746460741,,False,2,0,1.9746460746460741,0.3963316328632315,0.14285714285714285,0.445642506526733,0.9135022569576656,0.34414969370545845",False
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/oof_predictions.csv,1567,368713,"62:540176:1168:151162,62,540176,1168,1.140005215250362,,False,2,0,1.140005215250362,0.009371972309515418,0.0,0.0,0.3480498183943365,0.0016923076923076924",False
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/oof_predictions.csv,1612,368713,"62:544549:5251:155535,62,544549,5251,2.158441481663516,,False,2,0,2.158441481663516,0.0,0.0,0.445642506526733,0.10636208133929195,0.0018823529411764706",False
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/oof_predictions.csv,1722,368713,"62:553110:12745:164096,62,553110,12745,2.2187802151187697,,False,2,0,2.2187802151187697,0.0009333333333333333,0.0,0.445642506526733,0.09030442071912344,0.002828804347826087",False
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/oof_predictions.csv,1752,368713,"62:555639:15118:166625,62,555639,15118,2.169266818639663,,False,2,0,2.169266818639663,0.0026573426573426573,0.0,0.445642506526733,0.2620158341122608,0.0",False
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/oof_predictions.csv,1753,368713,"62:555640:15119:166626,62,555640,15119,2.785087538619976,,False,2,0,2.785087538619976,0.016289344360826054,0.0,0.445642506526733,0.2389010125233407,0.006747698040411118",False
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/oof_predictions.csv,1846,368713,"62:564217:6718:175203,62,564217,6718,1.9636657410636609,,False,2,0,1.9636657410636609,0.007123669300518328,0.0,0.445642506526733,0.10876586115596218,0.008284869256548196",False
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/oof_predictions.csv,1963,368713,"62:574547:16371:185533,62,574547,16371,0.5376764700746186,,False,2,0,0.5376764700746186,0.0072024820922871905,0.0,0.445642506526733,0.32931105108871545,0.006418124018031511",False
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/oof_predictions.csv,1980,368713,"63:577360:2625:188346,63,577360,2625,1.053878677268635,1.2936151183033822,True,3,0,1.2936151183033822,0.061792547455598784,0.0,0.5443010669479574,0.65055725642915,0.04207330393369469",False
reports/1781000790.531071.5a66741c__s07b_timing_control_classifier/oof_predictions.csv,2162,368713,"63:611511:1772:222496,63,611511,1772,0.5399633997808913,,False,2,0,0.5399633997808913,0.0,0.0,0.4444030940194312,0.02602824031470992,0.0",False
reports/1781004956.603.7dce65be__p03a_18_sample_mlp_timing/heldout_pair_residuals.csv,528,62433,"65:672239:8844:247279,B4-B8,s02_ridge_cfd20,2.4398515111218373",False
reports/1781004956.603.7dce65be__p03a_18_sample_mlp_timing/heldout_pair_residuals.csv,640,62433,"65:656462:10504:231502,B6-B8,analytic_timewalk,0.08837494807751511",False
reports/1781004956.603.7dce65be__p03a_18_sample_mlp_timing/heldout_pair_residuals.csv,941,62433,"65:676071:12428:251111,B4-B6,mlp_waveform,3.470258151143355",False
reports/1781006575.2866.622a4328/heldout_scores.csv,224,843977,"32,2,0,-0.11511442451038528,-0.5742567822624076,0.003538283849154409,0.001472440035295483",False
reports/1781006575.2866.622a4328/heldout_scores.csv,255,843977,"33,5,1,0.5367933672443499,0.6805106365028334,0.9226128675671401,0.980827749947457",False
reports/1781006575.2866.622a4328/heldout_scores.csv,257,843977,"33,5,1,0.19850243012616964,-0.5500362105736346,0.987624393088999,0.9915118376412884",False
reports/1781006575.2866.622a4328/heldout_scores.csv,448,843977,"34,3,1,0.3933438237633048,-0.19624893931224652,0.9620242334789217,0.9515114719327674",False
reports/1781006575.2866.622a4328/heldout_scores.csv,486,843977,"35,2,1,0.5939882901580913,-0.43086654763435067,0.9331674895189896,0.9503309815115322",False
reports/1781006575.2866.622a4328/heldout_scores.csv,756,843977,"37,5,1,0.2444534277515119,-0.5183901087638295,0.9852007840022474,0.9915389674266603",False
reports/1781006575.2866.622a4328/heldout_scores.csv,918,843977,"39,3,1,0.15118976651071564,-0.4959499988296577,0.9797675410192479,0.9818146928895063",False
reports/1781006575.2866.622a4328/heldout_scores.csv,954,843977,"39,3,0,0.4408397436655974,-0.22398953575031358,0.10721511972895245,0.049565958462993776",False
reports/1781006575.2866.622a4328/heldout_scores.csv,1028,843977,"40,4,1,-0.9062716647731126,-0.2618881511427348,0.06341788877466435,0.8115713361508226",False
reports/1781006575.2866.622a4328/heldout_scores.csv,1291,843977,"42,3,0,-0.19532767313265273,-0.4471174554466199,0.0012988266309698323,0.0016832873151188935",False
reports/1781006575.2866.622a4328/heldout_scores.csv,1420,843977,"42,3,0,-1.1996320869490278,-0.5042276435337468,0.0011894648566470273,0.0016832873151188935",False
reports/1781006575.2866.622a4328/heldout_scores.csv,1428,843977,"42,3,0,-0.014760576675393877,-0.5297257727800574,0.001960829915118774,0.0066936825431190795",False
reports/1781006575.2866.622a4328/heldout_scores.csv,1552,843977,"45,4,0,-1.4293701012230144,-0.5250711979147846,0.5582371022784032,0.16811121475174043",False
reports/1781006575.2866.622a4328/heldout_scores.csv,1783,843977,"48,5,1,-0.80278758925457,-0.44325630127747473,0.3122996398791393,0.6310636984830094",False
reports/1781006575.2866.622a4328/heldout_scores.csv,2140,843977,"51,3,1,0.671259405724669,0.19724481511635647,0.962032144971759,0.989736669807965",False
reports/1781006575.2866.622a4328/heldout_scores.csv,2394,843977,"54,4,0,0.05923023868214672,-0.12151172706973665,0.013126273123248256,0.0009281110249890984",False
reports/1781006575.2866.622a4328/heldout_scores.csv,2555,843977,"55,5,0,-0.30871932772563265,-0.2623421511784198,0.0030757468417952844,0.0011388506715113086",False
reports/1781006575.2866.622a4328/heldout_scores.csv,2920,843977,"57,5,1,0.07415118636251872,-0.4720710466219349,0.5939673775090727,0.8681479140386834",False
reports/1781006575.2866.622a4328/heldout_scores.csv,3044,843977,"58,1,0,-0.3221914751711751,-0.5674151112461283,0.028830615310073006,0.004391405238376139",False
reports/1781006575.2866.622a4328/heldout_scores.csv,3379,843977,"59,2,1,0.1151103784939399,-0.4979400183112078,0.9806489510409823,0.991097217078447",False
reports/1781006575.2866.622a4328/heldout_scores.csv,3426,843977,"59,2,1,0.377476445275054,-0.15119327524923917,0.9628768247631058,0.989088867098131",False
reports/1781006575.2866.622a4328/heldout_scores.csv,3745,843977,"59,2,0,-0.7395993949464216,-0.22674061613121477,0.14854910860033652,0.03882846533971779",False
reports/1781006575.2866.622a4328/heldout_scores.csv,3977,843977,"59,2,1,1.0424891511063532,2.459958086241915,0.9468320931657576,0.9829211078700928",False
reports/1781006575.2866.622a4328/heldout_scores.csv,4014,843977,"59,2,1,0.3116028296582892,-0.5294482682638488,0.8771210922012296,0.9355091067151143",False
reports/1781006575.2866.622a4328/heldout_scores.csv,4096,843977,"59,2,1,0.4151192508010805,-0.06173036129723712,0.9114096636276846,0.971018086868772",False
reports/1781006575.2866.622a4328/heldout_scores.csv,4301,843977,"59,2,1,0.3956867026871511,-0.5052865619600235,0.9655457165617449,0.978536334723951",False
reports/1781006575.2866.622a4328/heldout_scores.csv,4339,843977,"59,2,1,0.7434834213460403,1.0307393200401511,0.9785092701958326,0.9866250069322385",False
reports/1781006575.2866.622a4328/heldout_scores.csv,4352,843977,"59,2,1,-0.23035398601155732,2.1511531170674147,0.952827014582154,0.9844107653831577",False
reports/1781006575.2866.622a4328/heldout_scores.csv,4420,843977,"59,2,1,1.0126812825617653,1.7622746123489947,0.9478515117754112,0.9846137813298353",False
reports/1781006575.2866.622a4328/heldout_scores.csv,4617,843977,"60,4,0,-2.555001151671295,-0.4071369400549461,0.02151142358474749,0.0070110319135481",False
reports/1781006575.2866.622a4328/heldout_scores.csv,4670,843977,"60,4,0,-1.1501906860060553,-0.4601662183837338,0.0835050057507587,0.015110309058198408",False
reports/1781006575.2866.622a4328/heldout_scores.csv,4750,843977,"60,4,1,0.5375950218112147,-0.20280288840859972,0.9769233423999014,0.9925696379263562",False
reports/1781006575.2866.622a4328/heldout_scores.csv,5011,843977,"60,4,1,0.23968732168881718,-0.4566116050329415,0.980663839740361,0.9908406481214734",False
reports/1781006575.2866.622a4328/heldout_scores.csv,5405,843977,"60,4,1,0.38564218941106365,-0.06627141525813844,0.9323019624439669,0.9917712704661122",False
reports/1781006575.2866.622a4328/heldout_scores.csv,5418,843977,"60,4,1,0.11576207475334754,-0.5615575151167888,0.9845720258896925,0.9857378178017946",False
reports/1781006575.2866.622a4328/heldout_scores.csv,5438,843977,"60,4,1,0.729569399439804,1.9371808849758285,0.9740818584198692,0.99151135250254",False
reports/1781006575.2866.622a4328/heldout_scores.csv,5532,843977,"60,4,1,1.1809409856946396,1.8717962675943831,0.9757160043703309,0.99151135250254",False
reports/1781006575.2866.622a4328/heldout_scores.csv,5575,843977,"60,4,1,0.15114011614893252,-0.3060825902855207,0.9094946877250122,0.9873811569478946",False
reports/1781006575.2866.622a4328/heldout_scores.csv,5638,843977,"60,4,1,0.1272492965593932,-0.4968860716041511,0.9729714756221235,0.9915814676792131",False
reports/1781006575.2866.622a4328/heldout_scores.csv,5786,843977,"61,1,1,1.632004982836106,4.299045045724116,0.9611345710515706,0.9809439905151162",False
reports/1781006575.2866.622a4328/heldout_scores.csv,5803,843977,"61,1,1,1.6258707349486188,4.027631178101096,0.9568454371841284,0.9809439905151162",False
reports/1781006575.2866.622a4328/heldout_scores.csv,5965,843977,"61,1,0,0.15112182219986392,-0.35512548909312597,0.0038178735471584182,0.0025110220895299246",False
reports/1781006575.2866.622a4328/heldout_scores.csv,6084,843977,"61,1,1,0.528344235607332,-0.331029065515111,0.9476144920019508,0.9949026356875497",False
reports/1781006575.2866.622a4328/heldout_scores.csv,6458,843977,"61,1,1,1.6024528983486424,3.642863862564939,0.9593670249043258,0.9809439905151162",False
reports/1781006575.2866.622a4328/heldout_scores.csv,6519,843977,"61,1,1,0.21349992421063624,-0.544926210981238,0.9853351157030418,0.9847927729846483",False
reports/1781006575.2866.622a4328/heldout_scores.csv,6764,843977,"61,1,1,1.7334182578064423,4.088443571291821,0.9594828417776676,0.9809439905151162",False
reports/1781006575.2866.622a4328/heldout_scores.csv,6789,843977,"61,1,1,1.7573040396025421,5.023634874075179,0.9599970718182027,0.9809439905151162",False
reports/1781006575.2866.622a4328/heldout_scores.csv,6810,843977,"61,1,1,0.4106360331386995,-0.41989614095981287,0.9379743733915833,0.9569851713198233",False
reports/1781006575.2866.622a4328/heldout_scores.csv,6870,843977,"61,1,1,0.33631810379387206,-0.4761661786301348,0.9821229283327388,0.9896350106366589",False
reports/1781006575.2866.622a4328/heldout_scores.csv,6893,843977,"61,1,1,1.5668217746139592,4.077309676911227,0.9552130247988351,0.9809439905151162",False
reports/1781006575.2866.622a4328/heldout_scores.csv,7054,843977,"61,1,1,1.616873172488928,4.585286854017396,0.9594408577925548,0.9809439905151162",False
reports/1781006575.2866.622a4328/heldout_scores.csv,7149,843977,"61,1,1,1.7053268751672799,5.033886941350161,0.9599970718182027,0.9809439905151162",False
reports/1781006575.2866.622a4328/heldout_scores.csv,7509,843977,"62,3,1,0.9899405420553448,1.2781657748439754,0.9817541941214704,0.9873830124997376",False
reports/1781006575.2866.622a4328/heldout_scores.csv,7559,843977,"62,3,1,0.9806572649018908,1.3478414551417843,0.9817541941214704,0.9873830124997376",False
reports/1781006575.2866.622a4328/heldout_scores.csv,7568,843977,"62,3,1,0.4329436235867963,0.3608278160383231,0.9798592815116477,0.9876918912132656",False
reports/1781006575.2866.622a4328/heldout_scores.csv,7691,843977,"62,3,1,0.12026205329151135,-0.36664571764763315,0.9801473275056027,0.9927454068204637",False
reports/1781006575.2866.622a4328/heldout_scores.csv,7708,843977,"62,3,1,1.1014261115118062,2.84549910858869,0.3500296343131331,0.873397258596568",False
reports/1781006575.2866.622a4328/heldout_scores.csv,7709,843977,"62,3,1,0.27263941804843866,-0.14924095849507565,0.9715119287990426,0.9895987760508552",False
reports/1781006575.2866.622a4328/heldout_scores.csv,8013,843977,"62,3,1,0.2108561151177486,-0.43560463152814555,0.9556305177491993,0.990564306256059",False
reports/1781006575.2866.622a4328/heldout_scores.csv,8591,843977,"62,3,1,0.5794717750374533,0.16449059209341782,0.9730248271056519,0.9894376015111486",False
reports/1781006575.2866.622a4328/heldout_scores.csv,8759,843977,"63,5,1,0.4666721511555736,1.1318296381187831,0.9807513749886833,0.9904091539644139",False
reports/1781006575.2866.622a4328/heldout_scores.csv,8829,843977,"63,5,1,0.278959537974783,-0.5208405218139248,0.97796743266784,0.9915118376412884",False
reports/1781006575.2866.622a4328/heldout_scores.csv,8872,843977,"63,5,1,0.8229407913875201,1.21151118936711,0.9805709816038414,0.9903615009788107",False
