ticket_id,study,path,title,in_scope,win_evidence,claimed_qspace_template_win,promoted_claim,all_controls_present,all_controls_clean,linter_fail,fail_reasons,has_mean_template,has_shuffled_target,has_train_eval_run_overlap,has_train_eval_key_overlap,has_no_run_event_features,clean_mean_template,clean_shuffled_target,clean_train_eval_run_overlap,clean_train_eval_key_overlap,clean_no_run_event_features,document_token_count
1781000790.531136.203130b0,S07c,reports/1781000790.531136.203130b0__s07c_clean_timing_rf/result.json,clean-timing RF vs q_template/downstream-span baseline,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,745
1781000826.539603.1a5d04dd,S00b,reports/1781000826.539603.1a5d04dd/result.json,downstream sensitivity to baseline estimator,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,957
1781000826.539659.030b7796,S16b,reports/1781000826.539659.030b7796__s16b_independent_pedestal_estimator_closure/result.json,Independent pedestal estimator closure,False,,False,False,False,False,False,,False,True,False,True,False,False,True,False,True,False,718
1781000867.546870.5c124aaf,S10b,reports/1781000867.546870.5c124aaf/result.json,Measured tau_eff with timing-template decay/live-time fit,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,461
1781000867.546938.20f0173c,S13b,reports/1781000867.546938.20f0173c/result.json,run-transfer CWoLa current classifier with multiple low/high-current runs,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,662
1781001221.625922.5a564a7e,S16b,reports/1781001221.625922.5a564a7e__s16b_forced_trigger_pedestal_validation/result.json,,False,,False,False,False,False,False,,False,True,False,False,True,False,True,False,False,True,601
1781001221.625989.53423f03,S16c,reports/1781001221.625989.53423f03__s16c_pedestal_timing_nuisance/result.json,pedestal-lowering nuisance propagation into timing residuals,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,539
1781001480.695946.490c69d3,S18b,reports/1781001480.695946.490c69d3/result.json,,False,,False,False,False,False,False,,False,True,False,False,True,False,True,False,False,True,576
1781001480.696013.4ac50583,S05a,reports/1781001480.696013.4ac50583__s05a_astack_external_control/result.json,A-stack external control for B-stack correlated timing,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,849
1781004956.538.5fc10cd7,P02b,reports/1781004956.538.5fc10cd7/result.json,cluster topology stability across runs and staves,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,696
1781004956.603.7dce65be,P03a,reports/1781004956.603.7dce65be__p03a_18_sample_mlp_timing/result.json,18-sample MLP timing versus S02 ridge-corrected CFD,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,479
1781004956.668.7d00443a,P07b,reports/1781004956.668.7d00443a/result.json,,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,340
1781004956.733.387f428e,S10c,reports/1781004956.733.387f428e/result.json,Pile-up excess stratified by amplitude baseline and pulse topology,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,727
1781005204.1227.36547733,P01a,reports/1781005204.1227.36547733__p01a_controlled_waveform_probes/result.json,amplitude/topology-controlled waveform representation probes,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,681
1781005204.1292.46e43fb0,P01b,reports/1781005204.1292.46e43fb0__p01b_full_data_embedding_artifact/result.json,reusable full-data waveform embedding artifact,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,419
1781005319.561.508a188d,S11a,reports/1781005319.561.508a188d/result.json,constrained two-pulse template-fit injection benchmark,False,ml_value_below_traditional;top_level_ml_beats_flag,True,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,546
1781005319.562.584259c9,P01c,reports/1781005319.562.584259c9__p01c_pulse_shape_importance_map/result.json,per-sample pulse-shape importance map,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,689
1781005319.615.15053b04,P09a,reports/1781005319.615.15053b04__p09a_rare_waveform_anomaly_taxonomy/result.json,,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,643
1781005627.1825.6e067067,S03b,reports/1781005627.1825.6e067067/result.json,amplitude-binned analytic template timewalk with per-stave monotonic constraints,False,ml_value_below_traditional,True,True,False,False,False,,False,True,False,False,True,False,True,False,False,True,447
1781005627.1877.378c7a87,S03c,reports/1781005627.1877.378c7a87/result.json,multi-heldout-run timing correction stability with leave-one-run-out intervals,False,ml_value_below_traditional,True,True,False,False,False,,False,True,False,False,False,False,True,False,False,False,427
1781005800.1736.6e8916b8,S02c,reports/1781005800.1736.6e8916b8/result.json,per-run drift nuisance in amplitude-binned template/timewalk closure,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,471
1781005800.1771.08175779,S03b,reports/1781005800.1771.08175779/result.json,analytic downstream-only timewalk model stress test on B4/B6/B8,False,ml_value_below_traditional,True,True,False,False,False,,False,True,False,False,True,False,True,False,False,True,442
1781005862.2131.4dbf3cf0,P04b,reports/1781005862.2131.4dbf3cf0/result.json,"The original P04 duplicate-readout ML charge closure reproduces at res68 0.01528 against the stored 0.01507 reference, but the best run-held-out external downstream-charge proxy is external_ml_hgb with res68 0.21189 [0.2",False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,594
1781005862.2197.53fd45c8,P04c,reports/1781005862.2197.53fd45c8__p04c_amplitude_adaptive_template/result.json,"On independent odd-readout closure, ML amplitude res68 is 0.0091 versus the best traditional amplitude baseline at 0.0858; charge res68 is 0.0151 versus 0.1554. The adaptive template family tests the model-definition hyp",False,,False,False,False,False,False,,False,True,True,True,False,False,True,True,True,False,739
1781006037.1500.1d8044e2,S07e,reports/1781006037.1500.1d8044e2__s07e_all_three_downstream_curvature_rf/result.json,all-three-downstream curvature-only timing-control RF audit,False,,False,False,False,False,False,,False,True,False,False,True,False,True,False,False,True,664
1781006037.1502.693f2c73,S07d,reports/1781006037.1502.693f2c73__s07d_injected_timing_corruption/result.json,,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,731
1781006250.1276.49814de9,P10b,reports/1781006250.1276.49814de9/result.json,explicit timewalk terms for amplitude-bin phase templates,True,,False,False,False,False,False,,False,True,False,False,True,False,True,False,False,True,537
1781006250.1341.148d3648,P10c,reports/1781006250.1341.148d3648/result.json,leave-one-run-family conditional template stress test,True,,False,False,True,True,False,,True,True,True,True,True,True,True,True,True,True,542
1781006575.2866.622a4328,S07d,reports/1781006575.2866.622a4328/result.json,recover historical App.A label table,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,695
1781006575.2877.41492e09,S03b,reports/1781006575.2877.41492e09/result.json,q_template-only clean-timing cuts,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,591
1781006678.1296.6b406328,S00c,reports/1781006678.1296.6b406328/result.json,raw selector-count CI regression,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,482
1781006678.1312.2d7d140a,S02c,reports/1781006678.1312.2d7d140a/result.json,template timing sensitivity to selector semantics,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,492
1781007337.1308.7dc86005,S10c,reports/1781007337.1308.7dc86005/result.json,Threshold-scan tau_eff stability for template live-time,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,699
1781007337.1325.2241031c,S10d,reports/1781007337.1325.2241031c/result.json,two-pulse template resolvability live-time from raw pulses,False,ml_value_below_traditional;top_level_ml_beats_flag,True,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,694
1781007587.2596.601c7510,S16d,reports/1781007587.2596.601c7510__s16d_forced_random_pedestal_run_search/result.json,,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,611
1781007587.2616.535e78de,S16e,reports/1781007587.2616.535e78de/result.json,tagged random-trigger pedestal validation,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,1039
1781007909.1585.0c094e3c,S16d,reports/1781007909.1585.0c094e3c/result.json,,False,,False,False,False,False,False,,False,True,False,False,True,False,True,False,False,True,665
1781007910.1647.505b465f,S16e,reports/1781007910.1647.505b465f/result.json,pre-trigger activity proxy in timing residual tails,False,ml_value_below_traditional,True,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,529
1781008255.1458.3732667d,S18c,reports/1781008255.1458.3732667d/result.json,,False,,False,False,False,False,False,,False,True,False,False,True,False,True,False,False,True,765
1781008255.1472.46fb0e58,S18d,reports/1781008255.1472.46fb0e58/result.json,,False,,False,False,False,False,False,,False,True,False,False,True,False,True,False,False,True,635
1781009029.1279.4d6e17f9,P03b,reports/1781009029.1279.4d6e17f9/result.json,Leave-one-run-out waveform MLP timing stability,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,754
1781009029.1288.7e78286e,P03c,reports/1781009029.1288.7e78286e/result.json,CNN versus MLP timing with analytic residual targets,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,528
1781009378.1771.3b9145b2,S16d,reports/1781009378.1771.3b9145b2__s16d_sample_i_bstack_pedestal_timing/result.json,,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,394
1781009378.1796.74af2d55,S04b,reports/1781009378.1796.74af2d55/result.json,adaptive-lowering covariates in full S04 timing-resolution tail tables,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,502
1781009478.9902.7ea057ff,S05b,reports/1781009478.9902.7ea057ff/result.json,A-stack external-control covariance on loose pulse-quality tiers,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,1030
1781009478.9969.16fe02b4,S05c,reports/1781009478.9969.16fe02b4/result.json,Hierarchical B-stack run/stave covariance model,False,,False,False,False,False,False,,False,True,False,False,True,False,True,False,False,True,958
1781009575.1631.563755ca,P02c,reports/1781009575.1631.563755ca/result.json,full-S01 q_template cluster stability,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,823
1781009575.1697.2f57332a,P02d,reports/1781009575.1697.2f57332a/result.json,early-peak topology versus timing tails,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,853
1781010024.910.7fbe14e8,P01c,reports/1781010024.910.7fbe14e8__p01c_publish_p01b_latent_artifact/result.json,publish P01b latent artifact outside git,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,367
1781010024.975.3e06183e,P02c,reports/1781010024.975.3e06183e__p02c_p01b_embedding_consumer/result.json,consume P01b embeddings with run-heldout guardrails,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,733
1781010192.1206.019d7d9e,P01b-downstream,reports/1781010192.1206.019d7d9e__p01b_downstream_waveform_probes/result.json,waveform probes on non-stave downstream targets,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,538
1781010192.1271.5e804d02,P01c,reports/1781010192.1271.5e804d02__p01c_repeated_leakage_sentinels/result.json,repeated leakage sentinels for waveform probes,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,528
1781010419.1206.6d667357,S10d,reports/1781010419.1206.6d667357/result.json,two-pulse template pile-up amplitude by stratum,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,693
1781010419.1274.000b7be0,S16d,reports/1781010419.1274.000b7be0/result.json,,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,675
1781010522.1275.6b5664c7,P07c,reports/1781010522.1275.6b5664c7/result.json,,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,973
1781010522.1343.1dda69d0,P07d,reports/1781010522.1343.1dda69d0/result.json,saturation-recovery systematic envelope for timing tails,False,,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,True,451
1781010611.1197.028b141a,S11b,reports/1781010611.1197.028b141a/result.json,real high-current two-pulse recovery against S10 topology excess,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,728
1781010611.1262.2e354bed,S11c,reports/1781010611.1262.2e354bed/result.json,amplitude-binned asymmetric two-pulse template closure,False,ml_value_below_traditional;top_level_ml_beats_flag,True,True,False,False,False,,False,True,False,False,False,False,True,False,False,False,615
1781010798.1019.19c63d1a,P01e,reports/1781010798.1019.19c63d1a__p01e_strict_latent_timing_audit/result.json,stricter leakage audit for latent timing probe,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,1126
1781010798.954.0e922a2d,P01d,reports/1781010798.954.0e922a2d/result.json,validate P01c CFD ablation sign flips,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,531
1781010938.498.6bd050f4,P05a,reports/1781010938.498.6bd050f4/result.json,CNN two-pulse decomposition against S11a injections,False,ml_value_below_traditional,True,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,626
1781010945.568.060f508b,P07e,reports/1781010945.568.060f508b/result.json,leading-edge sample ablation for saturation recovery,False,,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,True,687
1781010955.636.68b17313,S10e,reports/1781010955.636.68b17313/result.json,pile-up excess transfer to P04/P07 charge-energy proxies,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,714
1781010964.704.6e1d4fe4,S14b,reports/1781010964.704.6e1d4fe4/result.json,"The nominal 4 cm geometry preflight reproduces S00 exactly and gives held-out odd-readout energy-proxy res68 0.0212 for the PSTAR/depth/even-charge lookup versus 0.0250 for monotonic HGB (ML - traditional 0.0038, run-blo",False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,514
1781010985.923.35c141ac,S03d,reports/1781010985.923.35c141ac/result.json,leave-one-run-out stability for S03a amp-only and S03b monotone-binned/HGB corrections,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,459
1781010985.987.3d520845,S03e,reports/1781010985.987.3d520845/result.json,two-ended-safe timewalk closure using only single-stave waveform features,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,487
1781011005.880.1cb53153,S03c,reports/1781011005.880.1cb53153/result.json,multi-heldout-run timing correction stability with leave-one-run-out intervals,False,ml_value_below_traditional,True,True,False,False,False,,False,True,False,False,False,False,True,False,False,False,542
1781011005.945.02b95315,S03d,reports/1781011005.945.02b95315/result.json,physically signed per-stave inverse-amplitude timewalk prior versus isotonic S03b,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,537
1781011277.910.1e815d8f,S03d,reports/1781011277.910.1e815d8f/result.json,run-level hierarchical shrinkage for analytic timewalk coefficients,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,547
1781011277.975.62a40408,S03e,reports/1781011277.975.62a40408/result.json,blind Sample-I to Sample-II transfer of analytic timewalk correction,False,ml_value_below_traditional,True,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,451
1781011359.822.3751464b,S03c,reports/1781011359.822.3751464b/result.json,multi-heldout-run timing correction stability with leave-one-run-out intervals,False,ml_value_below_traditional,True,True,False,False,False,,False,True,False,False,False,False,True,False,False,False,559
1781011359.887.074979d1,S03d,reports/1781011359.887.074979d1/result.json,physically signed per-stave amplitude timewalk prior versus isotonic fit,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,503
1781011449.1304.37c054cc,P09b,reports/1781011449.1304.37c054cc__p09b_manual_waveform_gallery_adjudication/result.json,,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,813
1781011449.1369.708b7640,S02d,reports/1781011449.1369.708b7640/result.json,,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,594
1781011483.1166.290e6be7,S02d,reports/1781011483.1166.290e6be7/result.json,leave-one-run-out run-drift nuisance scan over Sample II,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,998
1781011483.1234.10c43e9a,S02e,reports/1781011483.1234.10c43e9a__s02e_current_rate_drift/result.json,current/rate-constrained drift nuisance in amplitude-binned template/timewalk closure,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,491
1781011754.1327.31d87446,P04c,reports/1781011754.1327.31d87446/result.json,"The opposite-stack A-charge target does not reproduce the one-percent P04 duplicate-readout closure: B2-only log-linear transfer has res68 0.5203, the strong traditional B-charge ridge has 0.5193 [0.5058, 0.5383], and wa",False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,887
1781011754.1392.25ac6c9f,S14b,reports/1781011754.1392.25ac6c9f/result.json,"The nominal 4 cm geometry preflight reproduces S00 exactly and gives held-out odd-readout energy-proxy res68 0.0212 for the PSTAR/depth/even-charge lookup versus 0.0250 for monotonic HGB (ML - traditional 0.0038, run-blo",False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,765
1781011912.1215.01fb264f,P04d,reports/1781011912.1215.01fb264f/result.json,"The direct adaptive-template scale pathology is not primarily fixed by changing the window, adding a baseline nuisance, peak-normalizing the template, or switching the shift-selection loss: the best direct variant is tem",False,,False,False,False,False,False,,False,True,True,True,False,False,True,True,True,False,733
1781011912.1282.2f0f1825,P04e,reports/1781011912.1282.2f0f1825/result.json,"Leave-one-run-family-out duplicate-readout closure remains strong but no longer looks like a standalone energy result: the worst-family ML res68 is 0.0036, versus 0.0458 for the Huber traditional method and at least 0.47",False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,715
1781012109.1288.14a764a8,S07g,reports/1781012109.1288.14a764a8__s07g_appi_amplitude_current_stratification/result.json,all-three App.I amplitude/current stratification,False,,False,False,False,False,False,,False,True,False,False,True,False,True,False,False,True,901
1781012109.1290.18206042,S07f,reports/1781012109.1290.18206042/result.json,,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,557
1781012359.1143.5d9c3b2a,P10c,reports/1781012359.1143.5d9c3b2a/result.json,Sample-II-only explicit timewalk transfer check,True,,False,False,False,False,False,,False,True,True,False,False,False,True,True,False,False,568
1781012359.1210.39212700,P10d,reports/1781012359.1210.39212700/result.json,external B2-B8 timing closure for explicit correction,True,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,567
1781012637.1082.5f6513ba,P10d,reports/1781012637.1082.5f6513ba/result.json,conditional template with explicit timewalk handles under family holdout,True,folds[0].delta_extra_trees_mse_minus_empirical;folds[1].delta_extra_trees_mse_minus_empirical,True,False,False,False,False,,False,True,True,True,True,False,True,True,True,True,613
1781012637.1148.71760dc3,P10e,reports/1781012637.1148.71760dc3/result.json,family-heldout conditional template negative-control registry,True,,False,False,True,True,False,,True,True,True,True,True,True,True,True,True,True,515
1781012659.1186.11c940a0,S07e,reports/1781012659.1186.11c940a0/result.json,all-three-downstream injected timing-corruption curvature benchmark,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,707
1781012659.1188.131c30d5,S11b,reports/1781012659.1188.131c30d5/result.json,,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,658
1781012700.777.722653c1,P04f,reports/1781012700.777.722653c1/result.json,Baseline-excursion rows do shift traditional robust-charge closure: matched-control res68 delta is 6.9000 and high-bias-tail delta is 0.8492. Early-pretrigger rows show res68 delta 4.2791. Across all valid rows the best ,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,1358
1781012706.846.1f364432,S10f,reports/1781012706.846.1f364432/result.json,anomaly-stratified pile-up excess closure,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,1111
1781012712.914.09cf1a30,P08a,reports/1781012712.914.09cf1a30/result.json,penetration-depth weak-label PID null test,False,,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,True,717
1781012802.2919.286528b5,S03d,reports/1781012802.2919.286528b5/result.json,q_template veto on S03/S04-style pair-residual resolution tail tables,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,797
1781012803.2987.06ed3d69,S01f,reports/1781012803.2987.06ed3d69/result.json,fold-local q_template templates for leakage audit,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,802
1781012847.2575.40cb6e31,S07e_archive_provenance_search,reports/1781012847.2575.40cb6e31/result.json,,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,690
1781012848.2643.539f1f83,S03d,reports/1781012848.2643.539f1f83/result.json,independent timing-tail validation of q_template clean cuts,False,top_level_ml_beats_flag,True,True,False,False,False,,False,True,False,False,False,False,True,False,False,False,878
1781013102.1034.262365d2,S10d_followup,reports/1781013102.1034.262365d2/result.json,reconcile template-fit and empirical live-time thresholds,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,602
1781013102.1102.52b37a0b,S10e,reports/1781013102.1102.52b37a0b/result.json,translate threshold-scan tau_eff into pile-up separability limits,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,928
1781013144.1054.325e4c97,S02d,reports/1781013144.1054.325e4c97/result.json,leave-one-run-out selector-semantics timing over Sample II,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,931
1781013145.1122.4ccc6db4,S00c,reports/1781013145.1122.4ccc6db4/result.json,raw selector-count CI regression,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,492
1781013481.885.251f4b3c,S10e,reports/1781013481.885.251f4b3c/result.json,real-candidate two-pulse validation,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,2192
1781013481.902.5d6a5b89,S10f,reports/1781013481.902.5d6a5b89/result.json,amplitude-binned two-pulse templates for S10d resolvability,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,598
1781013928.1528.29ac7cae,S16e,reports/1781013928.1528.29ac7cae/result.json,,False,,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,True,781
1781013928.1541.3e1c5146,S16f,reports/1781013928.1541.3e1c5146/result.json,,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,530
1781013969.1061.240425ea,S16f,reports/1781013969.1061.240425ea/result.json,pre-trigger contamination veto versus timing tails,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,508
1781013969.1084.3b973f5f,S02d plus S16e,reports/1781013969.1084.3b973f5f/result.json,LORO S02b timing plus S16e pre-trigger proxy terms,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,787
1781014241.437.0e0024cb,P05b,reports/1781014241.437.0e0024cb/result.json,failure-aware two-pulse abstention calibration,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,445
1781014246.505.46f447b1,S16g,reports/1781014246.505.46f447b1/result.json,,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,535
1781014251.574.7a497937,S00d,reports/1781014251.574.7a497937/result.json,dynamic-selector pulse taxonomy audit,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,658
1781014256.642.6ded722c,P09c,reports/1781014256.642.6ded722c/result.json,,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,946
1781014263.712.4e9c774b,S14c,reports/1781014263.712.4e9c774b/result.json,"Raw ROOT reproduction passed exactly at 640,737 selected B-stave pulses. On nominal 4 cm geometry, observed even charge gives energy-proxy res68 0.0212; the traditional rising-edge saturation correction gives 0.0289, and",False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,577
1781014577.1213.12f7440a,S18d,reports/1781014577.1213.12f7440a/result.json,,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,583
1781014577.1276.72f87916,S18e,reports/1781014577.1276.72f87916/result.json,,False,,False,False,False,False,False,,False,True,False,False,True,False,True,False,False,True,989
1781014587.1760.7ce2645e,S16e,reports/1781014587.1760.7ce2645e/result.json,,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,687
1781014587.1828.635a3c7c,S16f,reports/1781014587.1828.635a3c7c/result.json,,False,,False,False,False,False,False,,False,True,True,False,False,False,True,True,False,False,662
1781014670.1039.33790a03,S18e,reports/1781014670.1039.33790a03/result.json,,False,,False,False,False,False,False,,False,True,False,False,True,False,True,False,False,True,867
1781014670.1107.6b932bc2,S18f,reports/1781014670.1107.6b932bc2/result.json,,False,,False,False,False,False,False,,False,True,False,False,True,False,True,False,False,True,770
1781014760.1717.579e75da,S16f,reports/1781014760.1717.579e75da/result.json,,False,,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,True,848
1781014767.1817.342d2609,S16g,reports/1781014767.1817.342d2609/result.json,,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,606
1781014997.939.20a36ed3,P03e,reports/1781014997.939.20a36ed3/result.json,Stave-blind versus stave-aware waveform residual ablation,False,,False,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,712
