component,quantity,value,unit,status,evidence_path,evidence_sha,claim_ids,notes
fibre_hole_centre_separation,1,2.0,cm,DESIGN_SPEC,docs/stave-geometry.md,5e75d4c9da1bacf7e6df0c4da46641dc66a0ca69970fdc1dfa3ddef535160ecd,P-007,kFibreSep=2.0 cm in geant4/single_stave/include/DetectorConstruction.hh
WLS_fibre_type,2,Kuraray_Y-11,,DESIGN_SPEC,docs/stave_sim/STAVE_SIM_ENERGY_MODEL.md,bd2f6948c6a3c00c9ae2643c07c48bffa48bbe37162338d326000a887136105f,P-007,Fibre grade/lot record not yet bound
WLS_fibre_outer_diameter,2,1.8,mm,DESIGN_SPEC,docs/stave_sim/STAVE_SIM_ENERGY_MODEL.md,bd2f6948c6a3c00c9ae2643c07c48bffa48bbe37162338d326000a887136105f,P-007,Implemented fibre outer-cladding radius 0.90 mm
beam_test_optical_readout,1,one_fibre_one_end,,DESIGN_SPEC,docs/stave_sim/STAVE_SIM_ENERGY_MODEL.md,bd2f6948c6a3c00c9ae2643c07c48bffa48bbe37162338d326000a887136105f,P-008,1 of 4 possible fibre-end channels instrumented; issues #796/#797
photosensor_model,1,S13360-3050CS,,DESIGN_SPEC,docs/stave_sim/STAVE_SIM_ENERGY_MODEL.md,bd2f6948c6a3c00c9ae2643c07c48bffa48bbe37162338d326000a887136105f,P-009,Hamamatsu MPPC on carrier board; operating point not bound
B_readout_channel_labels,4,"B2,B4,B6,B8",channels,DESIGN_SPEC,configs/s03e_1781020980_5750_33243f80_sample_i_analysis_population_transfer.yaml,8d4b5a775ecde700934f610371765e7e713836fc90addb962e6508710cab27f0,P-004,Four even-numbered B-stack readout channels in analysed beam data; eight physical layers with sparse instrumentation
B_channel_to_G4_layer_map,4,"B2->0,B4->2,B6->4,B8->6",layer_id,SIM_CONFIG,reports/1781091056.1272.7ad60e8d__s12b_detector_map_contract/REPORT.md,fa8dcca46cb73d351bf53710e238d391fd83631cfca928ba6f76d009fb4808fa,P-004,Documented GEANT4 detector-map contract for data-matched MC; not a hardware channel-map drawing
analysed_B_layer_centre_spacing,1,4.0,cm,SIM_CONFIG,reports/1781091056.1272.7ad60e8d__s12b_detector_map_contract/REPORT.md,fa8dcca46cb73d351bf53710e238d391fd83631cfca928ba6f76d009fb4808fa,P-004,Truth median adjacent analysed-layer separation; rejects 2 cm analysed spacing hypothesis
Sample_I_trigger_definition,1,A_AND_B_coincidence,,UNKNOWN_EXTERNAL,docs/contracts/TRIGGER_HARDWARE_RESPONSE.json,5268a45121516290ca1f305b8eb887ae800bc85850a241879aea0eda2b6fff22,P-014,Analysis convention only; hardware threshold/discriminator/coincidence record not yet bound
Sample_II_trigger_definition,1,B_only,,UNKNOWN_EXTERNAL,docs/contracts/TRIGGER_HARDWARE_RESPONSE.json,5268a45121516290ca1f305b8eb887ae800bc85850a241879aea0eda2b6fff22,P-015,Analysis convention only; hardware record not yet bound
MC_trigger_proxy_Sample_I,1,first_layer_charged_hit_A_and_B,,SIM_CONFIG,docs/contracts/TRIGGER_HARDWARE_RESPONSE.json,5268a45121516290ca1f305b8eb887ae800bc85850a241879aea0eda2b6fff22,P-016,Must be labelled MC_TRIGGER_PROXY in all MC figures
MC_trigger_proxy_Sample_II,1,first_layer_charged_hit_B_only,,SIM_CONFIG,docs/contracts/TRIGGER_HARDWARE_RESPONSE.json,5268a45121516290ca1f305b8eb887ae800bc85850a241879aea0eda2b6fff22,P-016,Not validated hardware trigger reproduction
Sample_I_calibration_runs,11,"31-37,39-42",run_numbers,SIM_CONFIG,configs/s03e_1781020980_5750_33243f80_sample_i_analysis_population_transfer.yaml,8d4b5a775ecde700934f610371765e7e713836fc90addb962e6508710cab27f0,P-014,Analysis configuration grouping; verify against hardware run log
Sample_I_analysis_runs,14,"44-57",run_numbers,SIM_CONFIG,configs/s03e_1781020980_5750_33243f80_sample_i_analysis_population_transfer.yaml,8d4b5a775ecde700934f610371765e7e713836fc90addb962e6508710cab27f0,P-014,Runs 38 and 43 excluded from declared groups in manuscript
Sample_II_calibration_runs,1,64,run_numbers,SIM_CONFIG,configs/s03e_1781020980_5750_33243f80_sample_i_analysis_population_transfer.yaml,8d4b5a775ecde700934f610371765e7e713836fc90addb962e6508710cab27f0,P-015,Analysis configuration grouping
Sample_II_analysis_runs,7,"58-63,65",run_numbers,SIM_CONFIG,configs/s03e_1781020980_5750_33243f80_sample_i_analysis_population_transfer.yaml,8d4b5a775ecde700934f610371765e7e713836fc90addb962e6508710cab27f0,P-015,Analysis configuration grouping
waveform_channels_per_event,8,8,channels,MEASURED,chatgpt_todo/PAPER_EVIDENCE_FIGURE_MATRIX_20260812.md,PENDING,P-022,Located raw ROOT product; immutable manifest still required for authorising use
waveform_samples_per_channel_raw,16,16,samples,MEASURED,chatgpt_todo/PAPER_EVIDENCE_FIGURE_MATRIX_20260812.md,PENDING,P-022,8x16 located raw product; distinct from historical 8x18 timing product (#993)
waveform_samples_per_channel_historical,18,18,samples,SIM_CONFIG,configs/s03e_1781020980_5750_33243f80_sample_i_analysis_population_transfer.yaml,8d4b5a775ecde700934f610371765e7e713836fc90addb962e6508710cab27f0,P-023,Historical analysis configuration; 16-to-18 transform not demonstrated
pulse_selection_threshold,1,1000,ADC,SIM_CONFIG,configs/s03e_1781020980_5750_33243f80_sample_i_analysis_population_transfer.yaml,8d4b5a775ecde700934f610371765e7e713836fc90addb962e6508710cab27f0,P-017,Analysis selection contract A>1000 ADC after baseline subtraction
legacy_stave_length_narrative,1,~100,cm,UNKNOWN_EXTERNAL,docs/academic_chapters/02_experimental_setup.md,68697fe76939ffeaed56781ec89520d4ba25d875568e8175e1281fa797fa8916,,Superseded narrative; do not use without primary hardware evidence
legacy_stave_material_narrative,1,BC-408,,UNKNOWN_EXTERNAL,docs/academic_chapters/02_experimental_setup.md,68697fe76939ffeaed56781ec89520d4ba25d875568e8175e1281fa797fa8916,,Conflicts with issue #796 extruded-polystyrene clarification; primary build record required
legacy_stave_transverse_dimensions,1,"~10 x 1",cm,UNKNOWN_EXTERNAL,docs/academic_chapters/02_experimental_setup.md,68697fe76939ffeaed56781ec89520d4ba25d875568e8175e1281fa797fa8916,,Conflicts with 5.18 x 2.0 cm design spec; not resolved by Geant4 alone
